CT	Phorub	LTR	ERVL	TguLTR5e	CM020215.1:175538656-175539249+	CM020247.1:2733216-2733797+	19	54	0	21,309,328,337,342,344,35,37,39,54	21,306,329,338,343,345,35,37,39,54	2	1,2,3,4,5,10,11,12,13,14	74	325	580	7|19|1|3|1|0|7|8|2|1|4|1
CT	Phorub	LTR	ERVL	TguLTR5d	CM020215.1:89713295-89713889+	CM020247.1:28955034-28955632+	21	61	0	357,363,383,389,391,398,456,460,461,480,507,522	358,364,384,390,392,399,457,461,462,481,508,523	2	7,8,9,10,11,12,15,16,17,18,19,20	109	166	596	7|21|0|3|2|0|12|8|3|3|0|2
CT	Phorub	LTR	ERVL	TguLTR5d	CM020215.1:94411064-94411663-	CM020247.1:28955034-28955632+	20	56	0	115,126,150,156,161,464,465,511,516,526,536,537	112,123,147,153,158,461,462,508,513,523,534,535	2	1,2,3,4,5,13,14,15,16,17,18,19	122	424	598	8|20|0|2|4|0|15|1|2|3|0|1
CT	Phorub	LTR	ERVL	TguLTR5d	CM020215.1:113235338-113235735+	CM020215.1:182040478-182041071-	15	41	0	224,234,243,247,249,315,324,325,330,336	419,429,438,442,444,510,519,520,525,531	2	4,5,6,7,8,10,11,12,13,14	48	113	396	5|15|0|2|1|3|7|2|5|0|1|0
CT	Phorub	LTR	ERVL	TguLTR5d	CM020215.1:172192601-172193196+	CM020247.1:26151829-26152427+	20	60	0	260,263,272,279,310,325,350,352,369,393	261,264,273,280,312,327,353,355,372,396	2	4,5,6,7,8,10,11,12,13,14	122	136	591	11|20|1|3|1|2|8|6|4|2|0|2
CT	Phorub	LTR	ERVL	TguLTR5d	CM020215.1:201818058-201818650+	CM020247.1:28955034-28955632+	22	55	0	108,111,122,135,157,349,362,388,397,407,459,517,521,531,532	109,112,123,136,158,351,364,390,399,409,461,519,523,534,535	3	3,4,5,6,7,11,12,13,14,15,17,18,19,20,21	184	427	594	2|22|0|5|3|1|11|4|2|4|0|1
CT	Phorub	LTR	ERVL	TguLTR5d	CM020216.1:1795042-1795629+	CM020216.1:5350907-5351500-	22	64	0	171,195,205,210,211,490,502,517,518,541	170,196,207,212,213,494,506,521,522,546	2	7,8,9,10,11,17,18,19,20,21	97	377	589	12|22|1|8|3|1|1|4|4|3|3|2
CT	Phorub	LTR	ERVL	TguLTR5d	CM020216.1:50851181-50851785+	CM020216.1:61923440-61924034-	23	61	0	314,333,350,357,390,504,507,512,518,521,529	314,333,350,357,390,505,508,513,519,522,530	2	8,9,10,11,12,18,19,20,21,22,23	103	217	599	12|23|3|4|4|0|6|5|0|3|1|0
CT	Phorub	LTR	ERVL	TguLTR5d	CM020217.1:70089713-70090283+	CM020219.1:14603425-14604018-	19	43	0	414,423,430,443,447,500,502,509,531,535	411,420,427,440,444,498,500,507,529,533	2	9,10,11,12,13,14,15,16,17,18	124	123	569	2|19|3|0|0|2|7|4|0|3|1|2
CT	Phorub	LTR	ERVL	TguLTR5d	CM020219.1:34859948-34860510+	CM020247.1:28955034-28955632+	20	59	0	120,125,475,478,490,500,501,60,79,80	112,113,153,158,508,511,523,534,535,93	2	2,3,4,5,6,16,17,18,19,20	94	443	563	5|20|1|4|1|0|15|6|4|2|1|0
CT	Phorub	LTR	ERVL	TguLTR5d	CM020221.1:1672635-1673232-	CM020246.1:77769242-77769833-	24	70	0	378,382,414,431,443,522,526,533,536,550	370,374,412,429,441,520,524,531,534,548	2	8,9,10,11,12,19,20,21,22,23	101	179	572	10|24|1|6|7|0|11|2|2|4|2|1
