CT	Syrmik	LTR	ERVL	DR0203876	QGNR01000001.1:2329653-2330068-	QGNR01000139.1:179743-180663+	20	35	0	110,144,161,180,188,63,70,79,87,90	566,573,582,590,593,613,647,666,685,693	2	2,3,4,5,6,7,8,9,10,11	129	128	412	6|20|1|2|1|1|1|2|0|0|0|1
CT	Syrmik	LTR	ERVL	DR0203876	QGNR01000001.1:4157979-4158854+	QGNR01000068.1:3149755-3150631-	22	46	0	526,532,533,550,553,607,639,652,655,667,668	523,529,530,547,550,604,637,650,653,665,666	2	2,3,4,5,6,7,8,9,10,11,12	145	144	467	6|22|4|1|1|1|2|6|1|2|0|0
CT	Syrmik	LTR	ERVL	DR0204011	QGNR01000001.1:23717545-23718085+	QGNR01000136.1:573778-574300-	17	51	0	208,216,218,219,251,445,455,461,463,483	193,200,202,203,235,430,440,446,448,468	2	3,4,5,6,7,10,11,12,13,14	82	276	521	7|17|2|2|0|0|6|10|1|1|1|4
CT	Syrmik	LTR	ERVL	DR0203884	QGNR01000027.1:10279356-10279885-	QGNR01000072.1:4430155-4430634+	14	36	0	209,212,218,225,231,447,453,478,484,485,493	166,169,175,182,188,404,410,435,441,442,450	2	1,2,3,4,5,9,10,11,12,13,14	70	285	348	2|14|3|3|1|0|4|4|4|0|1|0
CT	Syrmik	LTR	ERVL	DR0204011	QGNR01000027.1:2246024-2246574-	QGNR01000193.1:3717-4292-	15	38	0	458,464,473,481,490,501,506,515,521,526	443,449,458,466,475,486,491,500,506,511	1	5,6,7,8,9,10,11,12,13,14	69	69	542	4|15|0|0|0|0|6|8|2|0|2|1
CT	Syrmik	LTR	ERVL	DR0204082	QGNR01000058.1:788209-788709+	QGNR01000099.1:926821-927333-	25	59	0	258,261,271,314,325,359,361,366,370,377	254,257,267,310,320,354,356,362,366,373	2	8,9,10,11,12,15,16,17,18,19	87	120	504	4|25|1|3|0|1|6|9|3|3|1|3
CT	Syrmik	LTR	ERVL	DR0203876	QGNR01000015.1:10063580-10064455-	QGNR01000022.1:10202576-10203186+	14	25	0	349,360,382,383,407,437,462,510,514,521	117,127,148,149,173,203,228,276,280,287	2	1,2,3,4,5,6,7,8,9,10	172	171	338	5|14|0|1|1|1|0|0|1|1|0|1
CT	Syrmik	LTR	ERVL	DR0203837	QGNR01000009.1:16079977-16080313-	QGNR01000017.1:1394730-1395065+	18	48	0	172,189,194,200,201,205,282,287,293,296,298	171,188,193,199,200,204,281,286,292,295,297	2	4,5,6,7,8,9,13,14,15,16,17	51	127	329	5|18|6|2|1|1|5|3|4|0|1|2
CT	Syrmik	LTR	ERVL	DR0203876	QGNR01000079.1:1980895-1981671+	QGNR01000248.1:17245-18127+	15	36	0	405,413,421,434,435,531,537,569,592,595	527,535,543,556,557,651,657,674,697,700	2	2,3,4,5,6,9,10,11,12,13	81	174	408	5|15|1|2|0|0|4|3|2|3|1|0
CT	Syrmik	LTR	ERVL	DR0204058	QGNR01000040.1:3387496-3387818-	QGNR01000045.1:6411320-6411644+	16	43	0	176,181,188,190,209,214,42,52,67,69,78	176,181,188,190,209,214,42,52,67,69,78	2	1,2,3,4,5,6,7,8,9,10,11	174	173	323	2|16|1|1|1|0|9|8|4|1|0|0
CT	Syrmik	LTR	ERVL	DR0203876	QGNR01000188.1:9626-10534+	QGNR01000420.1:13285-14237-	28	84	0	546,553,563,570,573,733,742,755,765,783	598,605,615,622,625,777,786,799,809,827	2	11,12,13,14,15,21,22,23,24,25	79	230	930	18|28|3|9|1|4|3|4|4|1|4|5
